loan_id,no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,cibil_score,residential_assets_value,commercial_assets_value,luxury_assets_value,bank_asset_value,loan_status
1.0,2.0,Graduate,No,9600000.0,29900000.0,12.0,778.0,2400000.0,17600000.0,22700000.0,8000000.0,Approved
2.0,0.0,Not Graduate,Yes,4100000.0,12200000.0,8.0,417.0,2700000.0,2200000.0,8800000.0,3300000.0,Rejected
3.0,3.0,Graduate,No,9100000.0,29700000.0,20.0,506.0,7100000.0,4500000.0,33300000.0,12800000.0,Rejected
4.0,3.0,Graduate,No,8200000.0,30700000.0,8.0,467.0,18200000.0,3300000.0,23300000.0,7900000.0,Rejected
5.0,5.0,Not Graduate,Yes,9800000.0,24200000.0,20.0,382.0,12400000.0,8200000.0,29400000.0,5000000.0,Rejected
6.0,0.0,Graduate,Yes,4800000.0,13500000.0,10.0,319.0,6800000.0,8300000.0,13700000.0,5100000.0,Rejected
7.0,5.0,Graduate,No,8700000.0,33000000.0,4.0,678.0,22500000.0,14800000.0,29200000.0,4300000.0,Approved
8.0,2.0,Graduate,Yes,5700000.0,15000000.0,20.0,382.0,13200000.0,5700000.0,11800000.0,6000000.0,Rejected
9.0,0.0,Graduate,Yes,800000.0,2200000.0,20.0,782.0,1300000.0,800000.0,2800000.0,600000.0,Approved
10.0,5.0,Not Graduate,No,1100000.0,4300000.0,10.0,388.0,3200000.0,1400000.0,3300000.0,1600000.0,Rejected
11.0,4.0,Graduate,Yes,2900000.0,11200000.0,2.0,547.0,8100000.0,4700000.0,9500000.0,3100000.0,Approved
12.0,2.0,Not Graduate,Yes,6700000.0,22700000.0,18.0,538.0,15300000.0,5800000.0,20400000.0,6400000.0,Rejected
13.0,3.0,Not Graduate,Yes,5000000.0,11600000.0,16.0,311.0,6400000.0,9600000.0,14600000.0,4300000.0,Rejected
14.0,2.0,Graduate,Yes,9100000.0,31500000.0,14.0,679.0,10800000.0,16600000.0,20900000.0,5000000.0,Approved
15.0,1.0,Not Graduate,No,1900000.0,7400000.0,6.0,469.0,1900000.0,1200000.0,5900000.0,1900000.0,Rejected
16.0,5.0,Not Graduate,No,4700000.0,10700000.0,10.0,794.0,5700000.0,3900000.0,16400000.0,4400000.0,Approved
17.0,2.0,Graduate,Yes,500000.0,1600000.0,4.0,663.0,1300000.0,100000.0,1300000.0,700000.0,Approved
18.0,4.0,Not Graduate,Yes,2900000.0,9400000.0,14.0,780.0,2900000.0,2800000.0,6700000.0,4300000.0,Approved
19.0,2.0,Graduate,No,2700000.0,10300000.0,10.0,736.0,1000000.0,0.0,6200000.0,3300000.0,Approved
20.0,5.0,Graduate,No,6300000.0,14600000.0,12.0,652.0,10300000.0,3500000.0,23500000.0,5900000.0,Approved
21.0,2.0,Graduate,No,5000000.0,19400000.0,12.0,315.0,9500000.0,1600000.0,18000000.0,6100000.0,Rejected
22.0,4.0,Graduate,No,5800000.0,14000000.0,16.0,530.0,3800000.0,11300000.0,22200000.0,5400000.0,Rejected
23.0,4.0,Graduate,Yes,6500000.0,25700000.0,18.0,311.0,13100000.0,1700000.0,19500000.0,8500000.0,Rejected
24.0,0.0,Not Graduate,Yes,500000.0,1400000.0,2.0,551.0,900000.0,600000.0,1100000.0,300000.0,Approved
25.0,0.0,Not Graduate,No,4900000.0,9800000.0,16.0,324.0,3800000.0,8700000.0,10000000.0,3300000.0,Rejected
26.0,5.0,Not Graduate,No,3100000.0,9500000.0,20.0,514.0,7900000.0,3100000.0,6600000.0,2600000.0,Rejected
27.0,4.0,Graduate,No,8200000.0,28100000.0,12.0,696.0,11500000.0,10600000.0,25300000.0,7200000.0,Approved
